geography,immigrant_status,total_pop,total_income,total_stir,owner_pop,owner_income,owner_stir,renter_pop,renter_income,renter_stir,renter_owner_gap,city,csd_name
Canada 20000 (  4.3%),Total Immigrant Status,34973090.0,131000.0,19.2,25209770.0,148800.0,17.3,9763320.0,84900.0,24.0,6.699999999999999,Other,Canada 20000
Canada 20000 (  4.3%),Non-immigrants,23648635.0,131400.0,17.7,17535505.0,149200.0,15.6,6113130.0,80800.0,23.8,8.200000000000001,Other,Canada 20000
Canada 20000 (  4.3%),Immigrant,11324455.0,129800.0,22.1,7674270.0,148000.0,21.1,3650190.0,91700.0,24.4,3.299999999999997,Other,Canada 20000
"  Montréal (CMA), Que. 20000 (  3.4%)",Total Immigrant Status,4133840.0,122900.0,18.3,2566025.0,150800.0,16.3,1567815.0,77300.0,21.5,5.199999999999999,Montreal,Montréal
"  Montréal (CMA), Que. 20000 (  3.4%)",Non-immigrants,2644045.0,129200.0,17.2,1769440.0,155800.0,14.9,874610.0,75300.0,21.9,6.999999999999998,Montreal,Montréal
"  Montréal (CMA), Que. 20000 (  3.4%)",Immigrant,1489795.0,111700.0,20.1,796590.0,139400.0,19.3,693205.0,79900.0,21.1,1.8000000000000007,Montreal,Montréal
    Lavaltrie (2452007) V 00000 (  3.0%),Total Immigrant Status,14225.0,107900.0,16.5,11475.0,116700.0,15.2,2745.0,71100.0,22.0,6.800000000000001,Montreal,Lavaltrie
    Lavaltrie (2452007) V 00000 (  3.0%),Non-immigrants,13555.0,108200.0,16.4,10870.0,117300.0,15.1,2680.0,71300.0,22.0,6.9,Montreal,Lavaltrie
    Lavaltrie (2452007) V 00000 (  3.0%),Immigrant,665.0,103200.0,18.1,610.0,107200.0,17.6,60.0,62000.0,23.6,6.0,Montreal,Lavaltrie
    Richelieu (2455057) V 00000 (  2.1%),Total Immigrant Status,5335.0,118000.0,17.3,3640.0,137400.0,15.1,1690.0,76400.0,22.2,7.1,Montreal,Richelieu
    Richelieu (2455057) V 00000 (  2.1%),Non-immigrants,5075.0,116700.0,17.3,3470.0,135400.0,15.0,1610.0,76600.0,22.1,7.100000000000001,Montreal,Richelieu
    Richelieu (2455057) V 00000 (  2.1%),Immigrant,255.0,143000.0,18.3,170.0,176000.0,15.5,85.0,72000.0,24.2,8.7,Montreal,Richelieu
    Saint-Mathias-sur-Richelieu (2455065) MÉ 00000 (  3.1%),Total Immigrant Status,4450.0,118800.0,15.9,3740.0,127200.0,15.1,710.0,75000.0,19.9,4.799999999999999,Montreal,Saint-Mathias-sur-Richelieu
    Saint-Mathias-sur-Richelieu (2455065) MÉ 00000 (  3.1%),Non-immigrants,4280.0,118800.0,15.9,3605.0,127000.0,15.2,680.0,75200.0,19.9,4.699999999999999,Montreal,Saint-Mathias-sur-Richelieu
    Saint-Mathias-sur-Richelieu (2455065) MÉ 00000 (  3.1%),Immigrant,170.0,119000.0,15.6,135.0,130000.0,14.6,30.0,72000.0,19.5,4.9,Montreal,Saint-Mathias-sur-Richelieu
    Saint-Jean-sur-Richelieu (2456083) V 00000 (  2.7%),Total Immigrant Status,94960.0,112300.0,16.5,65120.0,132000.0,14.7,29840.0,69300.0,20.5,5.800000000000001,Montreal,Saint-Jean-sur-Richelieu
    Saint-Jean-sur-Richelieu (2456083) V 00000 (  2.7%),Non-immigrants,89515.0,112200.0,16.4,61420.0,132200.0,14.5,28095.0,68600.0,20.6,6.100000000000001,Montreal,Saint-Jean-sur-Richelieu
    Saint-Jean-sur-Richelieu (2456083) V 00000 (  2.7%),Immigrant,5445.0,112600.0,18.4,3705.0,127600.0,18.1,1740.0,80800.0,19.0,0.8999999999999986,Montreal,Saint-Jean-sur-Richelieu
    Chambly (2457005) V 00000 (  2.2%),Total Immigrant Status,30710.0,137400.0,15.8,25010.0,151000.0,15.0,5700.0,77700.0,19.5,4.5,Montreal,Chambly
    Chambly (2457005) V 00000 (  2.2%),Non-immigrants,26815.0,135200.0,15.5,21635.0,149400.0,14.5,5185.0,75800.0,19.8,5.300000000000001,Montreal,Chambly
    Chambly (2457005) V 00000 (  2.2%),Immigrant,3900.0,152200.0,17.8,3375.0,161000.0,18.0,525.0,96400.0,16.4,-1.6000000000000014,Montreal,Chambly
    Carignan (2457010) V 00000 (  2.3%),Total Immigrant Status,11640.0,168200.0,15.9,10840.0,173200.0,15.6,800.0,99000.0,19.8,4.200000000000001,Montreal,Carignan
    Carignan (2457010) V 00000 (  2.3%),Non-immigrants,10010.0,170000.0,15.4,9265.0,176600.0,15.1,740.0,89000.0,19.0,3.9000000000000004,Montreal,Carignan
    Carignan (2457010) V 00000 (  2.3%),Immigrant,1630.0,156800.0,18.9,1575.0,154200.0,18.5,60.0,230000.0,29.6,11.100000000000001,Montreal,Carignan
